交易日期,客户ID,售货员,分公司,产品,单价,数量,订单金额
2019-09-02,C00885,侯宁,上海,葡萄,15,6761,101415
2019-04-24,C00198,许亮,吉林,桃,6.5,1351,8781.5
2019-01-31,C00616,阎云,山东,葡萄,15,7531,112965
2019-05-23,C00718,许亮,吉林,桔子,6,1258,7548
2019-03-08,C00029,戴雪,上海,椰子,20,8174,163480
2019-06-16,C00844,殷琳,广东,百香果,12,2176,26112
2019-09-01,C00322,庄雷,上海,梨,8,2834,22672
2019-08-18,C00361,戴雪,上海,梨,8,1777,14216
2019-05-26,C00908,王梓戎,广东,榴莲,50,1027,51350
2019-11-06,C00656,庄雷,上海,梨,8,3117,24936
2019-03-18,C00257,阎云,山东,梨,8,8660,69280
2019-07-14,C00869,殷琳,广东,百香果,12,3062,36744
2019-03-24,C00403,董丹丹,广东,苹果,10,5357,53570
2019-05-13,C00948,许亮,吉林,桔子,6,357,2142
2019-09-28,C00924,张林,广东,百香果,12,6630,79560
2019-09-25,C00674,阎云,山东,榴莲,50,8858,442900
2019-01-04,C00040,刘帆,天津,梨,8,7977,63816
2019-07-13,C00402,戴雪,上海,香蕉,7.5,7440,55800.0
2019-09-22,C00277,刘帆,天津,香蕉,7.5,7218,54135.0
2019-12-25,C00070,章洋,上海,桔子,6,6483,38898
2019-01-03,C00720,刘帆,天津,桃,6.5,582,3783.0
2019-11-15,C00018,李智童,山东,梨,8,3503,28024
2019-01-06,C00766,钱国,山东,西瓜,30,7988,239640
2019-05-16,C00530,郭华锋,吉林,桃,6.5,1705,11082.5
2019-03-25,C00682,李智童,山东,苹果,10,4289,42890
2019-10-06,C00673,许亮,吉林,桃,6.5,6511,42321.5
2019-12-24,C00465,陈天浩,上海,榴莲,50,4323,216150
2019-12-17,C00892,王宇,吉林,桔子,6,7535,45210
2019-03-29,C00996,王宇,吉林,香蕉,7.5,7198,53985.0
2019-12-15,C00668,殷琳,广东,百香果,12,3213,38556
2019-01-09,C00721,庄雷,上海,椰子,20,8003,160060
2019-05-27,C00710,吴中岳,广东,梨,8,6855,54840
2019-02-16,C00190,魏苍生,天津,桃,6.5,2453,15944.5
2019-06-14,C00963,董丹丹,广东,桃,6.5,3359,21833.5
2019-09-04,C00539,殷琳,广东,葡萄,15,9239,138585
2019-09-09,C00521,陈杨,吉林,榴莲,50,7394,369700
2019-12-20,C00570,刘雪,天津,梨,8,1157,9256
2019-02-02,C00397,刘颖,上海,西瓜,30,7905,237150
2019-10-20,C00172,孙健,上海,葡萄,15,7497,112455
2019-05-27,C00134,许亮,吉林,葡萄,15,5697,85455
2019-07-16,C00644,刘丹,上海,西瓜,30,7829,234870
2019-06-12,C00435,张林,广东,百香果,12,4474,53688
2019-12-14,C00353,刘雪,天津,葡萄,15,4162,62430
2019-05-09,C00200,孙健,上海,椰子,20,4773,95460
2019-04-04,C00629,李琳,上海,梨,8,8426,67408
2019-06-08,C00443,李辉,北京,香蕉,7.5,1144,8580.0
2019-02-26,C00400,刘丹,上海,香蕉,7.5,2313,17347.5
2019-10-01,C00667,魏苍生,天津,桃,6.5,7722,50193.0
2019-07-28,C00461,殷琳,广东,苹果,10,718,7180
2019-04-22,C00382,王玉,吉林,榴莲,50,6384,319200
2019-08-16,C00306,李智童,山东,葡萄,15,6283,94245
2019-03-10,C00341,江敏,上海,桃,6.5,2709,17608.5
2019-05-11,C00372,孙健,上海,香蕉,7.5,2508,18810.0
2019-08-18,C00761,张林,广东,桃,6.5,8114,52741.0
2019-09-07,C00519,王玉,吉林,香蕉,7.5,5185,38887.5
2019-08-30,C00981,蔡勇,广东,西瓜,30,9660,289800
2019-02-10,C00199,侯宁,上海,桃,6.5,76,494.0
2019-08-26,C00619,魏苍生,天津,榴莲,50,3565,178250
2019-09-02,C00661,王梓戎,广东,西瓜,30,5439,163170
2019-07-17,C00784,刘丹,上海,葡萄,15,3976,59640
2019-08-01,C00850,侯宁,上海,椰子,20,4882,97640
2019-12-09,C00010,吴中岳,广东,榴莲,50,76,3800
2019-09-26,C00885,庄雷,上海,西瓜,30,6528,195840
2019-02-01,C00261,李琳,上海,梨,8,5362,42896
2019-12-16,C00363,李智童,山东,香蕉,7.5,3267,24502.5
2019-12-01,C00060,庄雷,上海,葡萄,15,4582,68730
2019-09-26,C00836,钱国,山东,百香果,12,1414,16968
2019-05-16,C00011,蔡建平,山东,百香果,12,6587,79044
2019-06-16,C00135,侯宁,上海,榴莲,50,5539,276950
2019-04-02,C00808,蔡建平,山东,苹果,10,6163,61630
2019-05-22,C00353,刘颖,上海,葡萄,15,6148,92220
2019-08-04,C00669,陈天浩,上海,百香果,12,1122,13464
2019-03-26,C00547,刘雪,天津,梨,8,1916,15328
2019-10-19,C00904,蔡建平,山东,香蕉,7.5,5139,38542.5
2019-04-26,C00360,王宇,吉林,梨,8,774,6192
2019-08-17,C00691,刘帆,天津,西瓜,30,4361,130830
2019-08-25,C00385,许亮,吉林,椰子,20,5386,107720
2019-02-26,C00836,董丹丹,广东,梨,8,6027,48216
2019-04-24,C00351,阎云,山东,椰子,20,303,6060
2019-02-07,C00884,李辉,北京,葡萄,15,3084,46260
2019-06-14,C00468,殷琳,广东,桔子,6,9854,59124
2019-12-04,C00696,刘帆,天津,椰子,20,8607,172140
2019-08-12,C00562,陈天浩,上海,苹果,10,1059,10590
2019-03-24,C00698,孙健,上海,百香果,12,539,6468
2019-11-13,C00067,李智童,山东,百香果,12,5909,70908
2019-10-20,C00316,刘帆,天津,榴莲,50,8613,430650
2019-10-03,C00278,刘雪,天津,香蕉,7.5,3222,24165.0
2019-03-13,C00536,郭华锋,吉林,榴莲,50,6391,319550
2019-06-25,C00192,刘帆,天津,西瓜,30,8099,242970
2019-09-04,C00801,陈杨,吉林,椰子,20,9548,190960
2019-11-03,C00065,张林,广东,苹果,10,3195,31950
2019-07-22,C00786,许亮,吉林,西瓜,30,8490,254700
2019-07-30,C00126,王梓戎,广东,西瓜,30,549,16470
2019-04-15,C00159,刘丹,上海,榴莲,50,3635,181750
2019-06-05,C00710,刘雪,天津,榴莲,50,4351,217550
2019-10-07,C00620,郭华锋,吉林,葡萄,15,3993,59895
2019-03-25,C00513,李辉,北京,椰子,20,3637,72740
2019-03-12,C00015,王梓戎,广东,椰子,20,4092,81840
2019-03-03,C00719,李智童,山东,苹果,10,6226,62260
2019-02-18,C00860,蔡建平,山东,葡萄,15,6782,101730
2019-02-24,C00336,许亮,吉林,葡萄,15,546,8190
2019-09-13,C00614,江敏,上海,香蕉,7.5,4303,32272.5
2019-08-15,C00729,蔡建平,山东,椰子,20,2984,59680
2019-05-21,C00757,蔡建平,山东,榴莲,50,8912,445600
2019-02-23,C00564,郭华锋,吉林,椰子,20,3328,66560
2019-10-28,C00588,郭华锋,吉林,香蕉,7.5,3675,27562.5
2019-03-14,C00845,吴中岳,广东,葡萄,15,2237,33555
2019-11-23,C00604,蔡建平,山东,桔子,6,8830,52980
2019-09-13,C00617,郭华锋,吉林,梨,8,4693,37544
2019-12-08,C00001,蔡建平,山东,桃,6.5,3964,25766.0
2019-10-08,C00360,庄雷,上海,桃,6.5,5518,35867.0
2019-11-24,C00652,王玉,吉林,桃,6.5,7515,48847.5
2019-04-03,C00877,江敏,上海,桔子,6,7468,44808
2019-05-23,C00273,张林,广东,椰子,20,2300,46000
2019-10-03,C00026,许亮,吉林,榴莲,50,2239,111950
2019-04-20,C00049,陈杨,吉林,西瓜,30,6424,192720
2019-05-11,C00633,吴中岳,广东,梨,8,7665,61320
2019-05-20,C00090,利坤,上海,梨,8,4454,35632
2019-01-05,C00876,钱国,山东,桔子,6,5614,33684
2019-09-19,C00926,陈杨,吉林,梨,8,440,3520
2019-02-22,C00827,刘帆,天津,梨,8,269,2152
2019-10-31,C00163,殷琳,广东,梨,8,9038,72304
2019-01-20,C00907,殷琳,广东,香蕉,7.5,4312,32340.0
2019-09-26,C00789,蔡建平,山东,椰子,20,313,6260
2019-09-22,C00298,王梓戎,广东,西瓜,30,5107,153210
2019-12-18,C00047,江敏,上海,榴莲,50,8100,405000
2019-07-27,C00289,侯宁,上海,苹果,10,3801,38010
2019-09-05,C00554,蔡勇,广东,香蕉,7.5,8703,65272.5
2019-09-10,C00950,张林,广东,百香果,12,4747,56964
2019-02-05,C00037,刘丹,上海,榴莲,50,1787,89350
2019-01-12,C00452,刘颖,上海,椰子,20,8853,177060
2019-08-20,C00864,蔡勇,广东,百香果,12,5952,71424
2019-02-04,C00589,董丹丹,广东,桔子,6,8591,51546
2019-03-22,C00822,李琳,上海,桔子,6,6764,40584
2019-01-28,C00205,郭华锋,吉林,梨,8,7494,59952
2019-05-15,C00619,李智童,山东,百香果,12,9529,114348
2019-03-25,C00809,刘雪,天津,榴莲,50,2251,112550
2019-09-04,C00947,陈杨,吉林,香蕉,7.5,7507,56302.5
2019-04-26,C00338,蔡勇,广东,葡萄,15,6324,94860
2019-07-01,C00006,张林,广东,苹果,10,7534,75340
2019-10-08,C00807,刘帆,天津,桔子,6,2800,16800
2019-10-01,C00070,江敏,上海,苹果,10,4327,43270
2019-09-23,C00049,蔡建平,山东,桃,6.5,3890,25285.0
2019-05-04,C00166,李琳,上海,榴莲,50,617,30850
2019-12-18,C00216,吴中岳,广东,桔子,6,2945,17670
2019-04-27,C00490,刘丹,上海,椰子,20,2065,41300
2019-09-15,C00219,侯宁,上海,西瓜,30,5481,164430
2019-11-03,C00090,孙健,上海,西瓜,30,7571,227130
2019-10-08,C00873,庄雷,上海,百香果,12,5319,63828
2019-07-26,C00389,许亮,吉林,西瓜,30,2253,67590
2019-03-07,C00141,魏苍生,天津,桃,6.5,9243,60079.5
2019-05-09,C00348,刘丹,上海,桔子,6,555,3330
2019-09-23,C00338,阎云,山东,葡萄,15,5385,80775
2019-01-12,C00757,侯宁,上海,梨,8,5591,44728
2019-06-09,C00937,刘帆,天津,香蕉,7.5,8808,66060.0
2019-04-18,C00480,侯宁,上海,葡萄,15,4755,71325
2019-04-02,C00279,王宇,吉林,西瓜,30,3502,105060
2019-06-01,C00403,殷琳,广东,葡萄,15,6456,96840
2019-03-09,C00760,张林,广东,梨,8,9163,73304
2019-05-22,C00724,魏苍生,天津,香蕉,7.5,6572,49290.0
2019-07-10,C00497,刘帆,天津,榴莲,50,4315,215750
2019-09-02,C00330,江敏,上海,葡萄,15,861,12915
2019-08-07,C00413,刘丹,上海,榴莲,50,2271,113550
2019-09-21,C00467,张林,广东,梨,8,8916,71328
2019-12-22,C00715,魏苍生,天津,苹果,10,1065,10650
2019-08-03,C00739,刘丹,上海,桃,6.5,7762,50453.0
2019-04-22,C00680,刘丹,上海,苹果,10,9291,92910
2019-09-30,C00099,陈杨,吉林,苹果,10,4402,44020
2019-11-19,C00439,庄雷,上海,香蕉,7.5,3819,28642.5
2019-03-24,C00607,王玉,吉林,苹果,10,3013,30130
2019-05-28,C00220,张林,广东,椰子,20,4214,84280
2019-01-22,C00879,刘雪,天津,桔子,6,7941,47646
2019-02-17,C00161,庄雷,上海,榴莲,50,8689,434450
2019-11-19,C00938,侯宁,上海,桃,6.5,5965,38772.5
2019-09-30,C00961,刘颖,上海,梨,8,9375,75000
2019-11-08,C00085,许亮,吉林,苹果,10,2831,28310
2019-08-06,C00686,魏苍生,天津,椰子,20,9971,199420
2019-01-01,C00471,蔡建平,山东,梨,8,2794,22352
2019-01-20,C00666,孙健,上海,桃,6.5,9293,60404.5
2019-04-13,C00832,刘雪,天津,桔子,6,3199,19194
2019-08-05,C00698,陈杨,吉林,榴莲,50,4391,219550
2019-10-17,C00370,刘雪,天津,桔子,6,1248,7488
2019-05-25,C00842,刘帆,天津,香蕉,7.5,9934,74505.0
2019-05-29,C00557,郭华锋,吉林,苹果,10,4531,45310
2019-09-01,C00011,王玉,吉林,榴莲,50,9593,479650
2019-11-17,C00424,刘雪,天津,百香果,12,7708,92496
2019-05-10,C00528,孙健,上海,桔子,6,2131,12786
2019-08-25,C00451,钱国,山东,桃,6.5,7555,49107.5
2019-04-04,C00172,江敏,上海,梨,8,5135,41080
2019-09-01,C00870,庄雷,上海,桃,6.5,6822,44343.0
2019-05-08,C00899,刘丹,上海,苹果,10,4424,44240
2019-09-27,C00075,庄雷,上海,梨,8,9123,72984
2019-06-18,C00163,利坤,上海,葡萄,15,5949,89235
2019-05-08,C00482,刘颖,上海,桔子,6,8683,52098
2019-08-31,C00629,刘颖,上海,榴莲,50,5906,295300
2019-05-11,C00102,戴雪,上海,苹果,10,9787,97870
2019-11-18,C00647,陈天浩,上海,香蕉,7.5,1862,13965.0
2019-06-15,C00385,章洋,上海,苹果,10,9262,92620
2019-03-28,C00894,王宇,吉林,梨,8,3186,25488
2019-03-19,C00230,王梓戎,广东,葡萄,15,5699,85485
2019-08-04,C00652,魏苍生,天津,梨,8,2063,16504
2019-03-18,C00425,郭华锋,吉林,桃,6.5,1191,7741.5
2019-07-27,C00891,李智童,山东,椰子,20,1842,36840
2019-06-14,C00568,阎云,山东,百香果,12,9611,115332
2019-05-16,C00997,李辉,北京,椰子,20,6912,138240
2019-01-26,C00193,郭华锋,吉林,榴莲,50,8211,410550
2019-12-29,C00457,阎云,山东,桔子,6,940,5640
2019-01-03,C00523,许亮,吉林,苹果,10,1430,14300
2019-12-17,C00654,王梓戎,广东,桃,6.5,3339,21703.5
2019-03-30,C00762,许亮,吉林,葡萄,15,3820,57300
2019-09-30,C00310,刘帆,天津,梨,8,2519,20152
2019-02-09,C00083,章洋,上海,桔子,6,7241,43446
2019-12-16,C00062,刘雪,天津,百香果,12,1818,21816
2019-11-30,C00484,阎云,山东,百香果,12,192,2304
2019-10-11,C00918,刘丹,上海,葡萄,15,7574,113610
2019-01-17,C00541,章洋,上海,香蕉,7.5,2715,20362.5
2019-04-27,C00552,陈杨,吉林,梨,8,8741,69928
2019-02-08,C00992,许亮,吉林,葡萄,15,6081,91215
2019-11-25,C00530,庄雷,上海,榴莲,50,2497,124850
2019-01-15,C00353,李辉,北京,西瓜,30,1101,33030
2019-06-07,C00840,吴中岳,广东,葡萄,15,5109,76635
2019-05-13,C00391,刘颖,上海,香蕉,7.5,6101,45757.5
2019-04-05,C00418,刘雪,天津,香蕉,7.5,6339,47542.5
2019-03-23,C00962,利坤,上海,百香果,12,9103,109236
2019-11-14,C00975,陈杨,吉林,梨,8,6554,52432
2019-10-21,C00072,侯宁,上海,桔子,6,7296,43776
2019-02-18,C00175,许亮,吉林,西瓜,30,4247,127410
2019-08-08,C00304,钱国,山东,榴莲,50,4436,221800
2019-11-01,C00078,李琳,上海,桔子,6,2394,14364
2019-09-04,C00702,蔡建平,山东,桃,6.5,931,6051.5
2019-11-04,C00628,孙健,上海,百香果,12,196,2352
2019-05-31,C00250,庄雷,上海,榴莲,50,8983,449150
2019-10-11,C00247,刘颖,上海,苹果,10,6754,67540
2019-07-02,C00138,许亮,吉林,榴莲,50,9281,464050
2019-07-05,C00010,魏苍生,天津,桔子,6,1919,11514
2019-01-01,C00228,魏苍生,天津,梨,8,858,6864
2019-08-22,C00858,钱国,山东,西瓜,30,7738,232140
2019-03-14,C00749,刘颖,上海,梨,8,749,5992
2019-06-12,C00984,李智童,山东,西瓜,30,1318,39540
2019-10-23,C00918,李辉,北京,梨,8,322,2576
2019-06-13,C00863,阎云,山东,苹果,10,7396,73960
2019-06-14,C00377,阎云,山东,葡萄,15,9647,144705
2019-03-29,C00004,利坤,上海,葡萄,15,9699,145485
2019-02-20,C00252,刘颖,上海,葡萄,15,6306,94590
2019-02-26,C00433,吴中岳,广东,桃,6.5,8941,58116.5
2019-01-15,C00513,利坤,上海,榴莲,50,8000,400000
2019-07-06,C00274,许亮,吉林,香蕉,7.5,8329,62467.5
2019-10-16,C00787,张林,广东,榴莲,50,4187,209350
2019-11-27,C00684,戴雪,上海,榴莲,50,2836,141800
2019-06-03,C00387,魏苍生,天津,桔子,6,2314,13884
2019-02-15,C00292,蔡建平,山东,百香果,12,1178,14136
2019-09-15,C00350,孙健,上海,梨,8,830,6640
2019-04-29,C00917,董丹丹,广东,苹果,10,3322,33220
2019-12-14,C00242,张林,广东,葡萄,15,5590,83850
2019-10-27,C00805,江敏,上海,香蕉,7.5,3244,24330.0
2019-08-10,C00804,刘帆,天津,榴莲,50,7584,379200
2019-09-27,C00536,刘雪,天津,西瓜,30,69,2070
2019-09-26,C00625,戴雪,上海,香蕉,7.5,8306,62295.0
2019-12-20,C00422,李智童,山东,桔子,6,5677,34062
2019-09-13,C00001,庄雷,上海,香蕉,7.5,8920,66900.0
2019-04-15,C00924,刘丹,上海,桔子,6,1017,6102
2019-02-19,C00467,刘颖,上海,桃,6.5,4095,26617.5
2019-10-28,C00461,刘帆,天津,梨,8,7723,61784
2019-06-27,C00876,吴中岳,广东,梨,8,358,2864
2019-02-07,C00497,李辉,北京,香蕉,7.5,1297,9727.5
2019-02-13,C00851,李智童,山东,百香果,12,6292,75504
2019-05-06,C00845,钱国,山东,百香果,12,3638,43656
2019-11-27,C00949,李智童,山东,榴莲,50,2154,107700
2019-03-01,C00010,章洋,上海,榴莲,50,6925,346250
2019-03-08,C00002,李辉,北京,苹果,10,1923,19230
2019-07-14,C00942,戴雪,上海,西瓜,30,7173,215190
2019-02-17,C00039,李智童,山东,苹果,10,4206,42060
2019-12-18,C00926,孙健,上海,榴莲,50,3405,170250
2019-11-11,C00399,戴雪,上海,榴莲,50,231,11550
2019-06-03,C00372,李琳,上海,梨,8,4431,35448
2019-07-01,C00680,王梓戎,广东,桔子,6,8822,52932
2019-10-10,C00024,王玉,吉林,榴莲,50,9871,493550
2019-08-25,C00588,侯宁,上海,桃,6.5,9351,60781.5
2019-11-14,C00451,蔡勇,广东,桔子,6,9189,55134
2019-11-23,C00157,李琳,上海,苹果,10,464,4640
2019-04-23,C00724,陈天浩,上海,苹果,10,2711,27110
2019-06-22,C00745,庄雷,上海,桃,6.5,6727,43725.5
2019-11-25,C00435,刘雪,天津,椰子,20,9590,191800
2019-10-03,C00846,江敏,上海,百香果,12,6572,78864
2019-02-10,C00564,李琳,上海,榴莲,50,740,37000
2019-03-17,C00431,钱国,山东,桔子,6,8618,51708
2019-03-14,C00947,蔡建平,山东,葡萄,15,846,12690
2019-08-31,C00855,陈杨,吉林,苹果,10,4411,44110
2019-04-07,C00358,刘丹,上海,葡萄,15,215,3225
2019-06-05,C00836,利坤,上海,百香果,12,4451,53412
2019-11-03,C00418,王宇,吉林,香蕉,7.5,8872,66540.0
2019-12-12,C00885,陈杨,吉林,百香果,12,4254,51048
2019-06-23,C00230,许亮,吉林,梨,8,9148,73184
2019-08-04,C00966,李智童,山东,梨,8,9837,78696
2019-06-16,C00038,吴中岳,广东,百香果,12,2974,35688
2019-05-08,C00207,陈杨,吉林,葡萄,15,6205,93075
2019-06-19,C00428,刘雪,天津,梨,8,4987,39896
2019-08-10,C00509,陈杨,吉林,椰子,20,5511,110220
2019-11-03,C00209,李琳,上海,桔子,6,4800,28800
2019-11-25,C00551,阎云,山东,椰子,20,1954,39080
2019-08-10,C00460,侯宁,上海,桔子,6,9102,54612
2019-12-07,C00936,阎云,山东,梨,8,9445,75560
2019-06-30,C00276,刘帆,天津,榴莲,50,9161,458050
2019-06-29,C00565,陈杨,吉林,榴莲,50,7524,376200
2019-12-14,C00446,李智童,山东,苹果,10,5009,50090
2019-11-14,C00218,王玉,吉林,苹果,10,8647,86470
2019-10-07,C00362,章洋,上海,苹果,10,1915,19150
2019-12-12,C00286,董丹丹,广东,苹果,10,608,6080
2019-05-06,C00932,张林,广东,椰子,20,7939,158780
2019-02-11,C00141,章洋,上海,苹果,10,3634,36340
2019-06-20,C00301,刘雪,天津,桃,6.5,1813,11784.5
2019-05-26,C00817,王梓戎,广东,椰子,20,4488,89760
2019-02-22,C00245,侯宁,上海,椰子,20,7152,143040
2019-03-12,C00759,刘雪,天津,梨,8,6120,48960
2019-01-27,C00905,刘颖,上海,桃,6.5,2652,17238.0
2019-07-19,C00081,侯宁,上海,苹果,10,583,5830
2019-05-09,C00294,刘雪,天津,西瓜,30,2510,75300
2019-02-09,C00561,刘雪,天津,香蕉,7.5,2384,17880.0
2019-08-05,C00751,蔡建平,山东,苹果,10,9667,96670
2019-06-12,C00902,陈杨,吉林,榴莲,50,3531,176550
2019-11-16,C00133,吴中岳,广东,百香果,12,3001,36012
2019-09-28,C00385,庄雷,上海,百香果,12,290,3480
2019-01-11,C00601,王梓戎,广东,百香果,12,3871,46452
2019-04-09,C00599,刘颖,上海,桃,6.5,9169,59598.5
2019-08-03,C00973,魏苍生,天津,葡萄,15,1704,25560
2019-08-12,C00122,刘雪,天津,百香果,12,8296,99552
2019-02-24,C00759,王梓戎,广东,桃,6.5,8093,52604.5
2019-10-18,C00074,侯宁,上海,西瓜,30,3225,96750
2019-09-28,C00115,阎云,山东,桃,6.5,3916,25454.0
2019-10-22,C00153,王梓戎,广东,香蕉,7.5,8198,61485.0
2019-12-03,C00472,吴中岳,广东,西瓜,30,8036,241080
2019-03-24,C00904,王玉,吉林,香蕉,7.5,7034,52755.0
2019-02-17,C00172,利坤,上海,梨,8,1095,8760
2019-11-11,C00345,阎云,山东,香蕉,7.5,5016,37620.0
2019-12-21,C00308,张林,广东,苹果,10,5376,53760
2019-07-26,C00110,侯宁,上海,西瓜,30,7514,225420
2019-06-29,C00196,戴雪,上海,榴莲,50,594,29700
2019-01-06,C00811,陈天浩,上海,百香果,12,9435,113220
2019-06-07,C00065,侯宁,上海,椰子,20,5457,109140
2019-07-18,C00429,王梓戎,广东,百香果,12,2477,29724
2019-03-02,C00257,江敏,上海,椰子,20,2880,57600
2019-04-30,C00184,郭华锋,吉林,梨,8,3266,26128
2019-07-08,C00372,张林,广东,椰子,20,1518,30360
2019-05-09,C00221,陈杨,吉林,葡萄,15,6609,99135
2019-09-22,C00641,戴雪,上海,百香果,12,5930,71160
2019-04-22,C00192,刘丹,上海,桔子,6,3947,23682
2019-04-16,C00514,庄雷,上海,西瓜,30,7132,213960
2019-11-05,C00709,李琳,上海,西瓜,30,9254,277620
2019-06-12,C00016,刘丹,上海,桔子,6,5819,34914
2019-06-20,C00671,蔡勇,广东,椰子,20,2747,54940
2019-11-22,C00664,陈杨,吉林,香蕉,7.5,310,2325.0
2019-03-28,C00952,章洋,上海,椰子,20,8935,178700
2019-12-28,C00550,陈天浩,上海,香蕉,7.5,420,3150.0
2019-07-12,C00738,陈杨,吉林,葡萄,15,7205,108075
2019-09-30,C00847,蔡勇,广东,梨,8,4325,34600
2019-11-09,C00395,陈天浩,上海,榴莲,50,8120,406000
2019-05-05,C00709,刘雪,天津,桔子,6,609,3654
2019-12-12,C00030,江敏,上海,西瓜,30,397,11910
2019-06-15,C00584,庄雷,上海,桃,6.5,2873,18674.5
2019-10-02,C00116,吴中岳,广东,西瓜,30,1605,48150
2019-12-07,C00955,孙健,上海,西瓜,30,704,21120
2019-06-23,C00148,刘丹,上海,桃,6.5,2268,14742.0
2019-12-15,C00498,侯宁,上海,葡萄,15,5080,76200
2019-05-09,C00505,王玉,吉林,西瓜,30,8399,251970
2019-04-04,C00174,阎云,山东,葡萄,15,3117,46755
2019-07-18,C00751,李琳,上海,葡萄,15,2764,41460
2019-12-17,C00285,吴中岳,广东,香蕉,7.5,1070,8025.0
2019-08-22,C00807,王玉,吉林,西瓜,30,4642,139260
2019-11-02,C00559,刘丹,上海,榴莲,50,9746,487300
2019-06-15,C00958,吴中岳,广东,百香果,12,7551,90612
2019-12-22,C00180,张林,广东,桃,6.5,1132,7358.0
2019-12-02,C00703,刘雪,天津,榴莲,50,9170,458500
2019-06-27,C00805,钱国,山东,葡萄,15,7411,111165
2019-02-23,C00403,庄雷,上海,桃,6.5,4002,26013.0
2019-05-10,C00508,陈杨,吉林,西瓜,30,6816,204480
2019-07-27,C00699,李智童,山东,桃,6.5,734,4771.0
2019-03-28,C00675,郭华锋,吉林,苹果,10,7979,79790
2019-01-22,C00103,陈天浩,上海,榴莲,50,807,40350
2019-08-22,C00729,蔡勇,广东,百香果,12,4631,55572
2019-03-10,C00681,刘丹,上海,西瓜,30,9623,288690
2019-03-08,C00900,钱国,山东,椰子,20,2520,50400
2019-12-06,C00364,章洋,上海,苹果,10,6435,64350
2019-01-18,C00571,李辉,北京,桔子,6,3217,19302
2019-04-10,C00081,钱国,山东,桃,6.5,4765,30972.5
2019-08-31,C00573,张林,广东,榴莲,50,3280,164000
2019-02-18,C00007,吴中岳,广东,西瓜,30,155,4650
2019-06-08,C00996,董丹丹,广东,椰子,20,7164,143280
2019-08-27,C00296,许亮,吉林,榴莲,50,5335,266750
2019-01-26,C00001,吴中岳,广东,葡萄,15,8201,123015
2019-04-07,C00338,李琳,上海,香蕉,7.5,5827,43702.5
2019-03-02,C00659,王梓戎,广东,桔子,6,5613,33678
2019-03-25,C00365,刘雪,天津,西瓜,30,3022,90660
2019-10-17,C00465,章洋,上海,西瓜,30,8373,251190
2019-01-06,C00559,李智童,山东,椰子,20,1574,31480
2019-04-19,C00802,庄雷,上海,椰子,20,6785,135700
2019-06-26,C00510,侯宁,上海,百香果,12,948,11376
2019-01-01,C00079,蔡建平,山东,梨,8,4520,36160
2019-06-21,C00253,章洋,上海,葡萄,15,693,10395
2019-05-08,C00356,利坤,上海,桃,6.5,1083,7039.5
2019-02-27,C00608,庄雷,上海,百香果,12,5071,60852
2019-06-12,C00578,孙健,上海,苹果,10,9149,91490
2019-09-25,C00709,蔡建平,山东,苹果,10,1469,14690
2019-09-21,C00425,蔡勇,广东,百香果,12,3460,41520
2019-06-11,C00601,侯宁,上海,苹果,10,1574,15740
2019-06-26,C00255,李智童,山东,苹果,10,7200,72000
2019-06-17,C00520,刘颖,上海,梨,8,9912,79296
2019-11-09,C00908,蔡勇,广东,榴莲,50,4572,228600
